,city,temp,max temp,humidity,cloudiness,wind speed,lat,lon,city country,city datetime
123,joshimath,51.49,51.49,22,0,1.03,30.57,79.57,IN,1571882411
125,bredasdorp,51.8,51.8,76,100,8.05,-34.53,20.04,ZA,1571882413
126,kontagora,74.23,74.23,85,99,4.61,10.4,5.47,NG,1571882414
127,penticton,45.64,48.2,70,40,4.7,49.49,-119.59,CA,1571882414
128,ponta do sol,74.07,74.07,88,0,0.2,-0.53,-65.05,BR,1571882415
130,shache,46,46,89,68,8.25,38.42,77.24,CN,1571882420
131,escarcega,75.56,75.56,79,91,3.31,18.61,-90.75,MX,1571882420
132,opuwo,68.36,68.36,27,28,7.2,-18.06,13.84,NA,1571882421
133,makhinjauri,59,59,87,20,13.87,41.67,41.69,GE,1571882422
134,curanilahue,42.21,42.21,90,93,3.49,-37.48,-73.35,CL,1571882423
135,arzgir,49.35,49.35,56,57,6.06,45.37,44.21,RU,1571882424
136,qaanaaq,24.13,24.13,81,100,10.96,77.48,-69.36,GL,1571882424
137,westport,52.43,61,50,1,4.7,41.14,-73.36,US,1571882425
138,cuamba,75.56,75.56,67,8,7.11,-14.8,36.54,MZ,1571882426
139,ayorou,86.81,86.81,20,74,6.96,14.73,0.92,NE,1571882427
140,severo-kurilsk,42.35,42.35,62,58,11.54,50.68,156.12,RU,1571882427
141,cayenne,77,77,88,8,2.24,4.94,-52.33,GF,1571882428
142,nome,64.96,69.01,72,1,5.82,30.04,-94.42,US,1571882429
143,vardo,45.82,51.01,87,1,2.53,39.62,-77.74,US,1571882429
144,cabo san lucas,48.74,57.99,71,37,10.29,43.18,-5.8,ES,1571882430
145,hobart,76.06,81,52,46,8.05,-42.88,147.33,AU,1571882392
146,gat,78.8,78.8,78,100,12.75,14.69,-16.54,SN,1571882432
147,mariinsk,32.31,32.31,76,100,17.85,56.21,87.75,RU,1571882432
148,longyearbyen,21.2,21.2,57,75,10.29,78.22,15.63,NO,1571882433
150,avarua,78.8,78.8,74,78,6.93,-21.21,-159.78,CK,1571882181
151,georgetown,77.83,78.8,94,75,4.7,6.8,-58.16,GY,1571882198
152,vila franca do campo,60.87,63,100,75,8.05,45.18,8.4,IT,1571882436
154,victoria,83.5,84.2,79,75,2.24,5.28,115.24,BN,1571882406
155,gannavaram,77,77,94,75,6.69,16.55,80.83,IN,1571882438
156,chicama,62.6,62.6,82,90,11.41,-7.84,-79.15,PE,1571882439
157,saskylakh,3.76,3.76,86,82,15.86,71.97,114.09,RU,1571882439
159,chengde,61.41,61.41,60,100,7.96,40.97,117.93,CN,1571882441
160,grand gaube,54.99,57.2,100,100,9.17,48.39,5.49,FR,1571882441
161,sobolevo,42.53,42.53,92,1,3.13,54.43,31.9,RU,1571882442
162,osmena,82.35,82.35,74,0,5.32,12.17,124.59,PH,1571882443
163,katsuura,66.72,69.8,100,75,12.75,33.93,134.5,JP,1571882444
164,teguldet,31.03,31.03,89,98,10.76,57.31,88.17,RU,1571882444
165,cherskiy,5.34,5.34,95,100,5.08,68.75,161.3,RU,1571882445
166,kroya,95.59,95.59,33,98,6.6,-6.5,108.06,ID,1571882446
167,pevek,18.5,18.5,88,100,20.27,69.7,170.27,RU,1571882447
168,gilbert,79.29,84.99,19,5,5.82,33.35,-111.79,US,1571882366
169,mega,64.26,64.26,86,33,5.32,4.06,38.32,ET,1571882448
170,narok,53.38,53.38,92,26,3.62,-1.09,35.87,KE,1571882449
171,sioux lookout,38.48,42.01,80,75,9.17,46.74,-90.88,US,1571882450
172,celestun,82.33,82.33,74,91,15.17,20.87,-90.4,MX,1571882450
173,tanout,81.93,81.93,18,96,13.18,14.97,8.88,NE,1571882451
174,chapleau,37.4,37.4,86,75,8.05,47.85,-83.4,CA,1571882452
175,hervey bay,61.2,64,51,1,4.7,33.5,-93.78,US,1571882452
176,ribeira grande,52.86,59,93,75,9.17,41.76,-8.56,PT,1571882453
177,mudanya,53.67,60.8,93,2,2.24,40.38,28.88,TR,1571882414
178,barrow,44.38,44.38,97,2,7.34,-38.31,-60.23,AR,1571882455
179,bubaque,81.09,81.09,78,100,11.5,11.28,-15.83,GW,1571882455
180,port-cartier,44.15,44.6,93,90,10.29,50.03,-66.88,CA,1571882456
181,tuktoyaktuk,12.2,12.2,92,40,8.05,69.44,-133.03,CA,1571882457
182,ouesso,69.69,69.69,99,88,1.01,1.61,16.05,CG,1571882458
183,esperance,60.8,60.8,67,40,21.92,-33.86,121.89,AU,1571882422
184,slonim,45.93,45.93,94,35,4.5,53.09,25.32,BY,1571882459
185,clyde river,46.99,46.99,54,62,7,-45.19,169.32,NZ,1571882460
186,nyagan,28.47,28.47,85,83,10.96,62.14,65.43,RU,1571882461
187,grand river south east,54.99,57.2,100,100,9.17,48.39,5.49,FR,1571882462
188,moron,79.97,79.97,76,53,8.03,18.56,-74.26,HT,1571882463
190,khatanga,4.42,4.42,87,100,4.38,71.98,102.47,RU,1571882464
191,touros,75.2,75.2,88,20,5.82,-5.2,-35.46,BR,1571882465
192,cidreira,67.59,67.59,84,94,18.48,-30.17,-50.22,BR,1571882466
193,ambulu,75.18,75.18,89,79,10.54,-8.35,113.61,ID,1571882466
194,itoman,79.03,80.6,65,40,17.22,26.12,127.67,JP,1571882467
195,san marcos,82.13,82.13,58,72,5.68,13.3,-4.9,ML,1571882468
196,port hardy,77.32,77.32,71,43,1.48,-7.04,29.76,CD,1571882468
197,kristianstad,48.06,50,100,90,5.46,56.03,14.16,SE,1571882469
198,sesheke,82.4,82.4,39,79,2.24,-17.47,24.29,NA,1571882473
199,marsh harbour,47.52,50,100,40,2.24,53.65,-1.81,GB,1571882474
200,mount isa,47.5,50,100,40,2.24,53.66,-1.85,GB,1571882474
201,arraial do cabo,67.05,68,72,22,18.34,-22.84,-46.65,BR,1571882475
202,novosineglazovskiy,45,46.4,87,75,13.42,55.04,61.38,RU,1571882476
203,lorengau,85.33,85.33,67,80,8.52,-2.02,147.27,PG,1571882477
204,hofn,34.77,34.77,62,100,36.46,64.25,-15.21,IS,1571882478
205,dzaoudzi,80.6,80.6,83,75,9.17,-12.79,45.27,YT,1571882479
206,takoradi,77.76,77.76,86,6,5.73,4.89,-1.75,GH,1571882480
207,muli,64.4,64.4,67,23,5.95,28.08,109.56,CN,1571882480
208,okoneshnikovo,38.05,38.05,87,100,20.38,54.84,75.08,RU,1571882482
209,novaya zaimka,47.14,47.14,90,56,4.45,54.72,41.58,RU,1571882482
210,kavaratti,83.01,83.01,76,100,23.62,10.57,72.64,IN,1571882483
211,turukhansk,29.16,29.16,95,100,14.05,65.8,87.96,RU,1571882484
212,preobrazheniye,54.59,54.59,52,100,10.49,42.9,133.91,RU,1571882485
213,charlestown,47.89,55.99,71,1,5.82,41.38,-71.64,US,1571882486
214,adyge-khabl,44.01,44.01,8,61,5.99,44.33,41.94,RU,1571882486
215,jiuquan,32.94,32.94,31,0,5.44,39.73,98.49,CN,1571882487
216,salalah,77,77,53,100,4.7,17.01,54.1,OM,1571882488
217,baglung,53.78,53.78,39,0,3.8,28.27,83.59,NP,1571882489
218,samarai,79.02,79.02,88,46,7,-10.62,150.67,PG,1571882489
